datetime,year,month,date_diff,week_flg,remarks_flg,weather_flg,temperature,y
2013-11-18,2013,11,0,1,0,2,19.8 ,90 
2013-11-19,2013,11,1,2,0,2,17.0 ,101 
2013-11-20,2013,11,2,3,0,2,15.5 ,118 
2013-11-21,2013,11,3,4,0,2,15.2 ,120 
2013-11-22,2013,11,4,5,0,2,16.1 ,130 
2013-11-25,2013,11,7,1,0,5,14.6 ,135 
2013-11-26,2013,11,8,2,0,2,17.9 ,145 
2013-11-27,2013,11,9,3,0,3,14.7 ,140 
2013-11-28,2013,11,10,4,0,6,17.7 ,151 
2013-11-29,2013,11,11,5,0,2,12.1 ,116 
2013-12-2,2013,12,14,1,0,2,13.8 ,151 
2013-12-3,2013,12,15,2,0,2,13.9 ,153 
2013-12-4,2013,12,16,3,0,3,13.5 ,151 
2013-12-5,2013,12,17,4,0,2,13.8 ,171 
2013-12-6,2013,12,18,5,0,2,14.9 ,134 
2013-12-9,2013,12,21,1,0,5,9.1 ,165 
2013-12-10,2013,12,22,2,0,5,7.1 ,155 
2013-12-11,2013,12,23,3,0,5,11.0 ,157 
2013-12-12,2013,12,24,4,0,2,12.3 ,109 
2013-12-13,2013,12,25,5,0,2,13.9 ,111 
2013-12-16,2013,12,28,1,0,2,11.3 ,160 
2013-12-17,2013,12,29,2,0,5,10.8 ,145 
2013-12-18,2013,12,30,3,0,5,7.8 ,145 
2013-12-19,2013,12,31,4,0,1,6.8 ,151 
2013-12-20,2013,12,32,5,0,5,8.4 ,134 
2013-12-24,2013,12,36,2,0,2,11.5 ,122 
2013-12-25,2013,12,37,3,0,2,8.0 ,121 
2013-12-26,2013,12,38,4,0,5,7.3 ,80 
2014-1-7,2014,1,50,2,0,2,7.3 ,131 
2014-1-8,2014,1,51,3,0,5,9.8 ,128 
2014-1-9,2014,1,52,4,0,5,10.9 ,129 
2014-1-10,2014,1,53,5,0,2,5.1 ,87 
2014-1-14,2014,1,57,2,0,3,5.8 ,129 
2014-1-15,2014,1,58,3,0,5,2.9 ,134 
2014-1-16,2014,1,59,4,0,2,7.0 ,107 
2014-1-17,2014,1,60,5,0,2,7.8 ,85 
2014-1-20,2014,1,63,1,0,3,6.5 ,126 
2014-1-21,2014,1,64,2,0,2,10.4 ,129 
2014-1-22,2014,1,65,3,0,2,7.4 ,126 
2014-1-23,2014,1,66,4,0,2,8.5 ,107 
2014-1-24,2014,1,67,5,0,2,10.1 ,92 
2014-1-27,2014,1,70,1,0,2,5.1 ,126 
2014-1-28,2014,1,71,2,0,2,12.6 ,120 
2014-1-29,2014,1,72,3,0,2,10.3 ,121 
2014-1-30,2014,1,73,4,0,5,15.3 ,105 
2014-1-31,2014,1,74,5,0,2,14.1 ,92 
2014-2-3,2014,2,77,1,0,3,15.9 ,139 
2014-2-4,2014,2,78,2,0,1,3.8 ,121 
2014-2-5,2014,2,79,3,0,2,3.0 ,126 
2014-2-6,2014,2,80,4,0,5,4.2 ,111 
2014-2-7,2014,2,81,5,0,3,5.5 ,91 
2014-2-10,2014,2,84,1,0,5,7.8 ,137 
2014-2-12,2014,2,86,3,0,5,6.3 ,111 
2014-2-13,2014,2,87,4,0,5,6.4 ,84 
2014-2-14,2014,2,88,5,0,4,1.2 ,86 
2014-2-17,2014,2,91,1,0,3,11.6 ,137 
2014-2-18,2014,2,92,2,0,3,6.8 ,99 
2014-2-19,2014,2,93,3,0,6,7.3 ,113 
2014-2-20,2014,2,94,4,0,6,5.4 ,85 
2014-2-21,2014,2,95,5,0,2,8.5 ,113 
2014-2-24,2014,2,98,1,0,5,6.6 ,129 
2014-2-25,2014,2,99,2,0,2,10.5 ,104 
2014-2-26,2014,2,100,3,0,3,11.5 ,104 
2014-2-27,2014,2,101,4,0,1,8.5 ,90 
2014-2-28,2014,2,102,5,0,3,17.7 ,69 
2014-3-3,2014,3,105,1,0,5,7.8 ,131 
2014-3-4,2014,3,106,2,0,3,8.3 ,100 
2014-3-5,2014,3,107,3,0,1,6.1 ,110 
2014-3-6,2014,3,108,4,0,2,6.7 ,77 
2014-3-7,2014,3,109,5,0,2,7.0 ,73 
2014-3-10,2014,3,112,1,0,5,7.6 ,123 
2014-3-11,2014,3,113,2,0,2,8.7 ,89 
2014-3-12,2014,3,114,3,0,2,14.8 ,68 
2014-3-13,2014,3,115,4,0,1,15.2 ,80 
2014-3-14,2014,3,116,5,0,5,11.5 ,70 
